control-center.log:
Event                Event Time           Train ID   Trains Waiting Passage
Tunnel Passing       22:07:02             0           
Tunnel Passing       22:07:05             2          1,3
Tunnel Passing       22:07:07             3          1,4
Tunnel Passing       22:07:09             4          1,5,6,7
Tunnel Passing       22:07:11             6          1,5,7,8
Breakdown            22:07:11             6          1,5,7,8
Tunnel Passing       22:07:17             8          1,5,7,9,10,11,12,13,14
Tunnel Passing       22:07:19             7          1,5,9,10,11,12,13,14,15,16
Breakdown            22:07:19             7          1,5,9,10,11,12,13,14,15,16
System Overload      22:07:20             #          1,5,9,10,11,12,13,14,15,16,17
Tunnel Passing       22:07:25             9          1,5,10,11,12,13,14,15,16,17
Tunnel Passing       22:07:27             11         1,5,10,12,13,14,15,16,17
Breakdown            22:07:27             11         1,5,10,12,13,14,15,16,17
Tunnel Passing       22:07:33             12         1,5,10,13,14,15,16,17
Tunnel Passing       22:07:35             13         1,5,10,14,15,16,17
Tunnel Passing       22:07:37             15         1,5,10,14,16,17
Breakdown            22:07:37             15         1,5,10,14,16,17
Tunnel Passing       22:07:43             14         1,5,10,16,17
Tunnel Passing       22:07:45             5          1,10,16,17
Tunnel Passing       22:07:48             17         1,10,16
Tunnel Passing       22:07:50             16         1,10
Breakdown            22:07:50             16         1,10
Tunnel Passing       22:07:56             1          10
Breakdown            22:07:56             1          10
Tunnel Passing       22:08:02             10          
