train.log:
Simulation arguments: p= 0.500000, simulation_time= 60
Train ID   Starting Point  Destination     Length(m)  Arrival Time         Departure Time      
0          A               E               200        22:07:05             22:07:05            
2          B               E               100        22:07:06             22:07:07            
3          B               E               100        22:07:09             22:07:09            
4          B               F               100        22:07:11             22:07:11            
6          B               F               100        22:07:16             22:07:17            
8          B               F               100        22:07:18             22:07:19            
7          A               E               100        22:07:19             22:07:25            
9          A               E               100        22:07:19             22:07:27            
11         B               E               100        22:07:19             22:07:33            
12         A               E               100        22:07:19             22:07:35            
13         B               E               100        22:07:19             22:07:37            
15         A               E               100        22:07:19             22:07:43            
14         B               E               100        22:07:19             22:07:45            
5          F               A               200        22:07:19             22:07:48            
17         A               F               100        22:07:19             22:07:50            
16         B               E               100        22:07:19             22:07:56            
1          E               A               100        22:07:19             22:08:02            
